agentID,linkID,departureTime,plannedArrivalTime,travelDistance,carAvailability,mode,delayedArrivalSeconds,travelTimeSeconds,numberOfTransfers,travelDisutility,startDayMode
10434_2,42145829_4,8:23:44,7:57:24,6034.4,FALSE,bike,1861,281,0,-2.62,bike
10434_2,238011047_0,17:52:34,0:00:00,3565.81,FALSE,bike,64553,199,0,-2.28,bike
