iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;19:29:38;19:29:38;19:29:38;;;19:29:38;19:29:38;19:29:39;19:29:39;19:29:39;19:29:39;19:29:39;19:29:42;19:29:42;19:29:42;19:29:42;19:29:42;19:29:42;19:29:46;19:29:46;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:03;00:00:07
1;19:29:46;19:29:46;19:29:46;19:29:46;19:29:46;19:29:46;19:29:46;19:29:47;19:29:47;19:29:47;19:29:47;19:29:47;19:29:50;19:29:50;19:29:50;19:29:50;19:29:50;19:29:50;19:29:52;19:29:52;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:01;00:00:05
