pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	55	15	0	0	0	0	0	0	0	0	0	0	0
bike interaction---home	35	0	0	0	0	0	0	0	0	0	0	0	0
bike interaction---work	35	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---car interaction	55	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	28	0	0	0	0	0	0	0	0	0	0	0	0
car interaction---work	29	0	0	0	0	0	0	0	0	0	0	0	0
home---bike interaction	35	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	29	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	36	0	0	0	0	0	0	0	0	0	0
work---bike interaction	35	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	28	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	37	0	0	0	0	0	0	0	0	0	0

average leg duration: 207.48458149779736 seconds = 00:03:27
